timestamp,instance,vehicle_id,pos_x,pos_y,pos_z,speed_kmh,heading,intent,is_attack,attack_type
1782150390.3938594,B,4b41ef6b-6e62-11f1-92aa-c03532e9605b,-350.0,8.300000190734863,0.18240003287792206,0.0,0.0,platoon_follow,0,none
1782150390.394217,B,4b41ef6c-6e62-11f1-92aa-c03532e9605b,-360.0,8.300000190734863,0.18240003287792206,0.0,0.0,platoon_follow,0,none
1782150390.3944237,B,4b41ef6d-6e62-11f1-92aa-c03532e9605b,-370.0,8.300000190734863,0.18240003287792206,0.0,0.0,platoon_follow,0,none
1782150390.3945844,B,4c527474-6e62-11f1-92aa-c03532e9605b,-380.0,8.300000190734863,0.18240003287792206,0.0,0.0,platoon_follow,0,none
1782150390.8142874,B,4b41ef6b-6e62-11f1-92aa-c03532e9605b,-350.0,8.300000190734863,0.009785518050193787,6.506185577830873e-07,0.0,platoon_follow,0,none
1782150390.8146033,B,4b41ef6c-6e62-11f1-92aa-c03532e9605b,-360.0,8.300000190734863,0.009785518050193787,6.776690389352296e-07,0.0,platoon_follow,0,none
1782150390.8148618,B,4b41ef6d-6e62-11f1-92aa-c03532e9605b,-370.0,8.300000190734863,0.009785518050193787,6.785401050424916e-07,0.0,platoon_follow,0,none
1782150390.8150074,B,4c527474-6e62-11f1-92aa-c03532e9605b,-380.0,8.300000190734863,0.009785518050193787,6.782430859168815e-07,0.0,platoon_follow,0,none
1782150391.0585685,B,4b41ef6b-6e62-11f1-92aa-c03532e9605b,-350.0,8.300000190734863,0.027338428422808647,1.9111933477712321e-07,0.0,platoon_follow,0,none
1782150391.058799,B,4b41ef6c-6e62-11f1-92aa-c03532e9605b,-360.0,8.300000190734863,0.027338428422808647,5.686175916375018e-07,0.0,platoon_follow,0,none
1782150391.058993,B,4b41ef6d-6e62-11f1-92aa-c03532e9605b,-370.0,8.300000190734863,0.027338428422808647,5.682960589704752e-07,0.0,platoon_follow,0,none
1782150391.0591016,B,4c527474-6e62-11f1-92aa-c03532e9605b,-380.0,8.300000190734863,0.027338428422808647,5.724337444157411e-07,0.0,platoon_follow,0,none
1782150391.2576373,B,4b41ef6b-6e62-11f1-92aa-c03532e9605b,-350.0,8.300000190734863,0.032742634415626526,3.428641550693299e-08,0.0,platoon_follow,0,none
1782150391.2578766,B,4b41ef6c-6e62-11f1-92aa-c03532e9605b,-360.0,8.300000190734863,0.032742634415626526,3.615153624555695e-08,0.0,platoon_follow,0,none
1782150391.2581198,B,4b41ef6d-6e62-11f1-92aa-c03532e9605b,-370.0,8.300000190734863,0.032742634415626526,2.5557863838256414e-08,0.0,platoon_follow,0,none
1782150391.2582743,B,4c527474-6e62-11f1-92aa-c03532e9605b,-380.0,8.300000190734863,0.032742634415626526,2.2681021594141457e-08,0.0,platoon_follow,0,none
1782150391.4259896,B,4b41ef6b-6e62-11f1-92aa-c03532e9605b,-350.0,8.300000190734863,0.033489473164081573,2.3249647584899914e-07,0.0,platoon_follow,0,none
1782150391.42622,B,4b41ef6c-6e62-11f1-92aa-c03532e9605b,-360.0,8.300000190734863,0.033489473164081573,6.458402943069171e-07,0.0,platoon_follow,0,none
1782150391.4263215,B,4b41ef6d-6e62-11f1-92aa-c03532e9605b,-370.0,8.300000190734863,0.033489473164081573,6.048955682581732e-07,0.0,platoon_follow,0,none
1782150391.4264452,B,4c527474-6e62-11f1-92aa-c03532e9605b,-380.0,8.300000190734863,0.033489473164081573,5.419129362319216e-07,0.0,platoon_follow,0,none
1782150391.6462214,B,4b41ef6b-6e62-11f1-92aa-c03532e9605b,-350.0,8.300000190734863,0.03370821103453636,3.515839925275517e-08,0.0,platoon_follow,0,none
1782150391.6464615,B,4b41ef6c-6e62-11f1-92aa-c03532e9605b,-360.0,8.300000190734863,0.03370821103453636,5.162362644401916e-08,0.0,platoon_follow,0,none
1782150391.6466224,B,4b41ef6d-6e62-11f1-92aa-c03532e9605b,-370.0,8.300000190734863,0.03370821103453636,1.8398868422603798e-07,0.0,platoon_follow,0,none
1782150391.646702,B,4c527474-6e62-11f1-92aa-c03532e9605b,-380.0,8.300000190734863,0.03370821103453636,1.7670176852875716e-07,0.0,platoon_follow,0,none
1782150391.8526475,B,4b41ef6b-6e62-11f1-92aa-c03532e9605b,-350.0,8.300000190734863,0.03374246507883072,4.764523656604425e-08,0.0,platoon_follow,0,none
1782150391.852944,B,4b41ef6c-6e62-11f1-92aa-c03532e9605b,-360.0,8.300000190734863,0.03374246507883072,3.730431291680436e-08,0.0,platoon_follow,0,none
1782150391.8531144,B,4b41ef6d-6e62-11f1-92aa-c03532e9605b,-370.0,8.300000190734863,0.033742502331733704,2.1485456185470867e-08,0.0,platoon_follow,0,none
1782150391.8532917,B,4c527474-6e62-11f1-92aa-c03532e9605b,-380.0,8.300000190734863,0.03374246507883072,5.36467931012505e-08,0.0,platoon_follow,0,none
1782150392.0786679,B,4b41ef6b-6e62-11f1-92aa-c03532e9605b,-350.0,8.300000190734863,0.03375345095992088,9.213272546861304e-09,0.0,platoon_follow,0,none
1782150392.0789356,B,4b41ef6c-6e62-11f1-92aa-c03532e9605b,-360.0,8.300000190734863,0.03375345095992088,1.0909002650554654e-09,0.0,platoon_follow,0,none
1782150392.079064,B,4b41ef6d-6e62-11f1-92aa-c03532e9605b,-370.0,8.300000190734863,0.03375345095992088,3.1056718897262826e-07,0.0,platoon_follow,0,none
1782150392.0791774,B,4c527474-6e62-11f1-92aa-c03532e9605b,-380.0,8.300000190734863,0.0337534137070179,5.040385096519671e-07,0.0,platoon_follow,0,none
1782150392.264492,B,4b41ef6b-6e62-11f1-92aa-c03532e9605b,-350.0,8.300000190734863,0.03375600650906563,2.1104580951959838e-07,0.0,platoon_follow,0,none
1782150392.2647452,B,4b41ef6c-6e62-11f1-92aa-c03532e9605b,-360.0,8.300000190734863,0.03375600650906563,4.547603407077145e-08,0.0,platoon_follow,0,none
1782150392.2649398,B,4b41ef6d-6e62-11f1-92aa-c03532e9605b,-370.0,8.300000190734863,0.03375600650906563,1.6890322880673837e-07,0.0,platoon_follow,0,none
1782150392.2650793,B,4c527474-6e62-11f1-92aa-c03532e9605b,-380.0,8.300000190734863,0.03375600650906563,1.7850978910478243e-07,0.0,platoon_follow,0,none
1782150392.468996,B,4b41ef6b-6e62-11f1-92aa-c03532e9605b,-350.0,8.300000190734863,0.0337570384144783,3.2833056018585237e-07,0.0,platoon_follow,0,none
1782150392.4692903,B,4b41ef6c-6e62-11f1-92aa-c03532e9605b,-360.0,8.300000190734863,0.03375719115138054,1.8830731803857574e-07,0.0,platoon_follow,0,none
1782150392.4695094,B,4b41ef6d-6e62-11f1-92aa-c03532e9605b,-370.0,8.300000190734863,0.03375719115138054,3.281171629348282e-07,0.0,platoon_follow,0,none
1782150392.4697068,B,4c527474-6e62-11f1-92aa-c03532e9605b,-380.0,8.300000190734863,0.0337570384144783,5.544608402933809e-09,0.0,platoon_follow,0,none
1782150392.699235,B,4b41ef6b-6e62-11f1-92aa-c03532e9605b,-349.7956237792969,8.306868553161621,0.031669557094573975,10.99233380484254,0.2864696979522705,platoon_follow,0,none
