timestamp,instance,vehicle_id,pos_x,pos_y,pos_z,speed_kmh,heading,intent,is_attack,attack_type
1781033476.969811,A,c6d29857-6439-11f1-92aa-40c2ba7c699c,-350.0,8.300000190734863,0.18240003287792206,0.0,0.0,platoon_follow,0,none
1781033476.9701025,A,c6d29858-6439-11f1-92aa-40c2ba7c699c,-360.0,8.300000190734863,0.18240003287792206,0.0,0.0,platoon_follow,0,none
1781033476.9702475,A,c7a4e07c-6439-11f1-92aa-40c2ba7c699c,-370.0,8.300000190734863,0.18240003287792206,0.0,0.0,platoon_follow,0,none
1781033476.9704638,A,c7a4e07d-6439-11f1-92aa-40c2ba7c699c,-380.0,8.300000190734863,0.18240003287792206,0.0,0.0,platoon_follow,0,none
1781033477.5766652,A,c6d29857-6439-11f1-92aa-40c2ba7c699c,-350.0,8.300000190734863,0.009785518050193787,6.506185577830873e-07,0.0,platoon_follow,0,none
1781033477.5769227,A,c6d29858-6439-11f1-92aa-40c2ba7c699c,-360.0,8.300000190734863,0.009785518050193787,6.776690389352296e-07,0.0,platoon_follow,0,none
1781033477.5771189,A,c7a4e07c-6439-11f1-92aa-40c2ba7c699c,-370.0,8.300000190734863,0.009785518050193787,6.785401050424916e-07,0.0,platoon_follow,0,none
1781033477.577442,A,c7a4e07d-6439-11f1-92aa-40c2ba7c699c,-380.0,8.300000190734863,0.009785518050193787,6.782430859168815e-07,0.0,platoon_follow,0,none
1781033477.7831688,A,c6d29857-6439-11f1-92aa-40c2ba7c699c,-350.0,8.300000190734863,0.027338428422808647,1.9111933477712321e-07,0.0,platoon_follow,0,none
1781033477.783444,A,c6d29858-6439-11f1-92aa-40c2ba7c699c,-360.0,8.300000190734863,0.027338428422808647,5.686175916375018e-07,0.0,platoon_follow,0,none
1781033477.783614,A,c7a4e07c-6439-11f1-92aa-40c2ba7c699c,-370.0,8.300000190734863,0.027338428422808647,5.682960589704752e-07,0.0,platoon_follow,0,none
